from_path,to_path,status_code
/upcp_product/baseboard-colonial-5-inch-bas503/,/products/trim-mouldings/baseboard-colonial-5-inch-bas503/,301
/mouldings/product/baseboard-colonial-5-inch-bas503/,/products/trim-mouldings/baseboard-colonial-5-inch-bas503/,301
/interior-doors/product/baseboard-colonial-5-inch-bas503/,/products/trim-mouldings/baseboard-colonial-5-inch-bas503/,301
/doors/product/baseboard-colonial-5-inch-bas503/,/products/trim-mouldings/baseboard-colonial-5-inch-bas503/,301
/upcp_product/baseboard-bevel-5-inch-bas508/,/products/trim-mouldings/baseboard-bevel-5-inch-bas508/,301
/mouldings/product/baseboard-bevel-5-inch-bas508/,/products/trim-mouldings/baseboard-bevel-5-inch-bas508/,301
/interior-doors/product/baseboard-bevel-5-inch-bas508/,/products/trim-mouldings/baseboard-bevel-5-inch-bas508/,301
/doors/product/baseboard-bevel-5-inch-bas508/,/products/trim-mouldings/baseboard-bevel-5-inch-bas508/,301
/upcp_product/baseboard-2-step-5-inch-bas509/,/products/trim-mouldings/baseboard-2-step-5-inch-bas509/,301
/mouldings/product/baseboard-2-step-5-inch-bas509/,/products/trim-mouldings/baseboard-2-step-5-inch-bas509/,301
/interior-doors/product/baseboard-2-step-5-inch-bas509/,/products/trim-mouldings/baseboard-2-step-5-inch-bas509/,301
/doors/product/baseboard-2-step-5-inch-bas509/,/products/trim-mouldings/baseboard-2-step-5-inch-bas509/,301
/upcp_product/baseboard-1867-5-inch-bas518/,/products/trim-mouldings/baseboard-1867-5-inch-bas518/,301
/mouldings/product/baseboard-1867-5-inch-bas518/,/products/trim-mouldings/baseboard-1867-5-inch-bas518/,301
/interior-doors/product/baseboard-1867-5-inch-bas518/,/products/trim-mouldings/baseboard-1867-5-inch-bas518/,301
/doors/product/baseboard-1867-5-inch-bas518/,/products/trim-mouldings/baseboard-1867-5-inch-bas518/,301
/upcp_product/baseboard-builder-colonial-4-inch-bas0608/,/products/trim-mouldings/baseboard-builder-colonial-4-inch-bas0608/,301
/mouldings/product/baseboard-builder-colonial-4-inch-bas0608/,/products/trim-mouldings/baseboard-builder-colonial-4-inch-bas0608/,301
/interior-doors/product/baseboard-builder-colonial-4-inch-bas0608/,/products/trim-mouldings/baseboard-builder-colonial-4-inch-bas0608/,301
/doors/product/baseboard-builder-colonial-4-inch-bas0608/,/products/trim-mouldings/baseboard-builder-colonial-4-inch-bas0608/,301
/upcp_product/baseboard-2-step-7-inch-bas701/,/products/trim-mouldings/baseboard-2-step-7-inch-bas701/,301
/mouldings/product/baseboard-2-step-7-inch-bas701/,/products/trim-mouldings/baseboard-2-step-7-inch-bas701/,301
/interior-doors/product/baseboard-2-step-7-inch-bas701/,/products/trim-mouldings/baseboard-2-step-7-inch-bas701/,301
/doors/product/baseboard-2-step-7-inch-bas701/,/products/trim-mouldings/baseboard-2-step-7-inch-bas701/,301
